Nr of Frames	Config	Video	QP	TZSearchConfig	Bit Rate	Y-PSNR	U-PSNR	V-PSNR	Total Time
9	encoder_randomaccess_main.cfg	BasketballDrive	32	19	3279.2444	36.9503	42.3115	42.0696	438.100
9	encoder_randomaccess_main.cfg	BasketballDrive	32	20	3279.2444	36.9503	42.3115	42.0696	435.800
9	encoder_randomaccess_main.cfg	BasketballDrive	32	21	3279.2444	36.9503	42.3115	42.0696	435.650
9	encoder_randomaccess_main.cfg	BasketballDrive	32	22	3279.2444	36.9503	42.3115	42.0696	435.550
9	encoder_randomaccess_main.cfg	BasketballDrive	32	23	3279.2444	36.9503	42.3115	42.0696	435.490
9	encoder_randomaccess_main.cfg	BasketballDrive	32	24	3279.2444	36.9503	42.3115	42.0696	436.250
9	encoder_randomaccess_main.cfg	BasketballDrive	32	25	3279.2444	36.9503	42.3115	42.0696	436.500
9	encoder_randomaccess_main.cfg	BasketballDrive	32	26	3279.2444	36.9503	42.3115	42.0696	435.090
9	encoder_randomaccess_main.cfg	BasketballDrive	32	27	3279.2444	36.9503	42.3115	42.0696	439.390
9	encoder_randomaccess_main.cfg	BasketballDrive	32	28	3279.2444	36.9503	42.3115	42.0696	435.510
9	encoder_randomaccess_main.cfg	BasketballDrive	32	29	3279.2444	36.9503	42.3115	42.0696	437.340
9	encoder_randomaccess_main.cfg	BasketballDrive	32	30	3279.2444	36.9503	42.3115	42.0696	435.850
9	encoder_randomaccess_main.cfg	BasketballDrive	32	31	3279.2444	36.9503	42.3115	42.0696	437.420
9	encoder_randomaccess_main.cfg	BasketballDrive	37	0	3279.2444	36.9503	42.3115	42.0696	434.940
9	encoder_randomaccess_main.cfg	BasketballDrive	37	1	3279.2444	36.9503	42.3115	42.0696	436.700
9	encoder_randomaccess_main.cfg	BasketballDrive	37	2	3279.2444	36.9503	42.3115	42.0696	435.330
9	encoder_randomaccess_main.cfg	BasketballDrive	37	3	3279.2444	36.9503	42.3115	42.0696	436.380
9	encoder_randomaccess_main.cfg	BasketballDrive	37	4	3279.2444	36.9503	42.3115	42.0696	434.320
9	encoder_randomaccess_main.cfg	BasketballDrive	37	5	3279.2444	36.9503	42.3115	42.0696	434.450
9	encoder_randomaccess_main.cfg	BasketballDrive	37	6	3279.2444	36.9503	42.3115	42.0696	436.320
9	encoder_randomaccess_main.cfg	BasketballDrive	37	7	3279.2444	36.9503	42.3115	42.0696	434.120
9	encoder_randomaccess_main.cfg	BasketballDrive	37	8	3279.2444	36.9503	42.3115	42.0696	436.450
9	encoder_randomaccess_main.cfg	BasketballDrive	37	9	3279.2444	36.9503	42.3115	42.0696	435.080
9	encoder_randomaccess_main.cfg	BasketballDrive	37	10	3279.2444	36.9503	42.3115	42.0696	435.860
9	encoder_randomaccess_main.cfg	BasketballDrive	37	11	3279.2444	36.9503	42.3115	42.0696	434.960
9	encoder_randomaccess_main.cfg	BasketballDrive	37	12	3279.2444	36.9503	42.3115	42.0696	437.910
9	encoder_randomaccess_main.cfg	BasketballDrive	37	13	3279.2444	36.9503	42.3115	42.0696	434.740
9	encoder_randomaccess_main.cfg	BasketballDrive	37	14	3279.2444	36.9503	42.3115	42.0696	435.530
9	encoder_randomaccess_main.cfg	BasketballDrive	37	15	3279.2444	36.9503	42.3115	42.0696	435.610
9	encoder_randomaccess_main.cfg	BasketballDrive	37	16	3279.2444	36.9503	42.3115	42.0696	436.050
9	encoder_randomaccess_main.cfg	BasketballDrive	37	17	3279.2444	36.9503	42.3115	42.0696	435.430
9	encoder_randomaccess_main.cfg	BasketballDrive	37	18	3279.2444	36.9503	42.3115	42.0696	434.670
9	encoder_randomaccess_main.cfg	BasketballDrive	37	19	3279.2444	36.9503	42.3115	42.0696	436.670
9	encoder_randomaccess_main.cfg	BasketballDrive	37	20	3279.2444	36.9503	42.3115	42.0696	435.100
9	encoder_randomaccess_main.cfg	BasketballDrive	37	21	3279.2444	36.9503	42.3115	42.0696	437.240
9	encoder_randomaccess_main.cfg	BasketballDrive	37	22	3279.2444	36.9503	42.3115	42.0696	435.980
9	encoder_randomaccess_main.cfg	BasketballDrive	37	23	3279.2444	36.9503	42.3115	42.0696	435.370
9	encoder_randomaccess_main.cfg	BasketballDrive	37	24	3279.2444	36.9503	42.3115	42.0696	436.380
9	encoder_randomaccess_main.cfg	BasketballDrive	37	25	3279.2444	36.9503	42.3115	42.0696	436.450
9	encoder_randomaccess_main.cfg	BasketballDrive	37	26	3279.2444	36.9503	42.3115	42.0696	435.620
9	encoder_randomaccess_main.cfg	BasketballDrive	37	27	3279.2444	36.9503	42.3115	42.0696	434.410
9	encoder_randomaccess_main.cfg	BasketballDrive	37	28	3279.2444	36.9503	42.3115	42.0696	437.200
9	encoder_randomaccess_main.cfg	BasketballDrive	37	29	3279.2444	36.9503	42.3115	42.0696	434.840
9	encoder_randomaccess_main.cfg	BasketballDrive	37	30	3279.2444	36.9503	42.3115	42.0696	437.230
9	encoder_randomaccess_main.cfg	BasketballDrive	37	31	3279.2444	36.9503	42.3115	42.0696	435.910
9	encoder_randomaccess_main.cfg	BQMall	32	0	1913.1733	34.6887	39.4191	40.3415	75.370
